Strong tree : 241 :[Grapple, Build hidey-hole, null, null, null]
Strong tree : 244 :[Grapple, Build hidey-hole, null, null, null]
Strong tree : 250 :[Grapple, null, null, null, null]
Burning tree : 677 :[null, null, null, null, null]
Tree : 678 :[null, null, null, null, null]
Tree : 1276 :[Chop down, null, null, null, null]
Tree : 1277 :[Chop down, null, null, null, null]
Tree : 1278 :[Chop down, null, null, null, null]
Tree : 1280 :[Chop down, null, null, null, null]
Dead tree : 1282 :[Chop down, null, null, null, null]
Dead tree : 1283 :[Chop down, null, null, null, null]
Dead tree : 1284 :[Chop down, null, null, null, null]
Dead tree : 1285 :[Chop down, null, null, null, null]
Dead tree : 1286 :[Chop down, null, null, null, null]
Dead tree : 1287 :[null, null, null, null, null]
Dead tree : 1288 :[null, null, null, null, null]
Dead tree : 1289 :[Chop down, null, null, null, null]
Dead tree : 1291 :[Chop down, null, null, null, null]
Dramen tree : 1292 :[Chop down, null, null, null, null]
Spirit tree : 1293 :[Talk-to, Teleport, null, null, null]
Spirit tree : 1294 :[Talk-to, Teleport, null, null, null]
Spirit tree : 1295 :[Talk-to, Teleport, null, null, null]
Fallen tree : 1297 :[null, null, null, null, null]
Tree : 1301 :[null, null, null, null, null]
Leafy tree : 1302 :[null, null, null, null, null]
Tree : 1303 :[null, null, null, null, null]
Tree : 1304 :[null, null, null, null, null]
Tree : 1305 :[null, null, null, null, null]
Magic tree : 1306 :[Chop down, null, null, null, null]
Maple tree : 1307 :[Chop down, null, null, null, null]
Spirit tree : 1317 :[Talk-to, Teleport, null, null, null]
Hollow tree : 1322 :[null, null, null, null, null]
Tropical tree : 1326 :[null, null, null, null, null]
Tropical tree : 1327 :[null, null, null, null, null]
Tropical tree : 1328 :[null, null, null, null, null]
Tree : 1330 :[Chop down, null, null, null, null]
Tree : 1331 :[Chop down, null, null, null, null]
Tree : 1332 :[Chop down, null, null, null, null]
Tree stump : 1341 :[null, null, null, null, null]
Tree stump : 1342 :[null, null, null, null, null]
Tree stump : 1343 :[null, null, null, null, null]
Tree stump : 1347 :[null, null, null, null, null]
Tree stump : 1349 :[null, null, null, null, null]
Tree stump : 1350 :[null, null, null, null, null]
Tree stump : 1351 :[null, null, null, null, null]
Tree stump : 1352 :[null, null, null, null, null]
Tree stump : 1353 :[null, null, null, null, null]
Tree stump : 1355 :[null, null, null, null, null]
Tree stump : 1356 :[null, null, null, null, null]
Tree stump : 1358 :[null, null, null, null, null]
Tree stump : 1359 :[null, null, null, null, null]
Tropical tree : 1360 :[null, null, null, null, null]
Tropical tree : 1361 :[null, null, null, null, null]
Tropical tree : 1362 :[null, null, null, null, null]
Dead tree : 1365 :[Chop down, null, null, null, null]
Tropical tree : 1371 :[null, null, null, null, null]
Tropical tree : 1372 :[null, null, null, null, null]
Tropical tree : 1373 :[null, null, null, null, null]
Tropical tree : 1374 :[null, null, null, null, null]
Tropical tree : 1375 :[null, null, null, null, null]
Tropical tree : 1376 :[null, null, null, null, null]
Tropical tree : 1377 :[null, null, null, null, null]
Dead tree : 1383 :[Chop down, null, null, null, null]
Dead tree : 1384 :[Chop down, null, null, null, null]
Tree Door : 1967 :[Open, null, null, null, null]
Tree Door : 1968 :[Open, null, null, null, null]
Dead tree : 2020 :[Climb, null, null, null, null]
Achey Tree : 2023 :[Chop, null, null, null, null]
Banana Tree : 2073 :[Pick, null, null, null, null]
Banana Tree : 2074 :[Pick, null, null, null, null]
Banana Tree : 2075 :[Pick, null, null, null, null]
Banana Tree : 2076 :[Pick, null, null, null, null]
Banana Tree : 2077 :[Pick, null, null, null, null]
Banana Tree : 2078 :[Search, null, null, null, null]
Palm tree : 2237 :[null, Search, null, null, null]
Hollow tree : 2289 :[Chop down, null, null, null, null]
Tree stump : 2310 :[null, null, null, null, null]
Tree branch : 2314 :[Climb-down, null, null, null, null]
Tree branch : 2315 :[Climb-down, null, null, null, null]
Long branched tree : 2327 :[null, null, null, null, null]
Swamp Tree : 2409 :[Chop, null, null, null, null]
Tree : 2410 :[Chop down, null, null, null, null]
Tree : 2411 :[Chop down, null, null, null, null]
Tree : 2447 :[Climb-up, null, null, null, null]
Tree : 2448 :[Climb-down, null, null, null, null]
Palm tree : 2577 :[null, Search, null, null, null]
Palm tree : 2578 :[null, null, null, null, null]
Tropical tree : 2652 :[null, null, null, null, null]
Jungle Tree : 2887 :[Chop-down, null, null, null, null]
Jungle Tree : 2889 :[Chop-down, null, null, null, null]
Jungle Tree : 2890 :[Chop-down, null, null, null, null]
Yommi tree baby : 2945 :[null, null, null, null, null]
Yommi tree sapling : 2946 :[null, null, null, null, null]
Adult Yommi tree : 2948 :[Chop, null, null, null, null]
Felled Yommi tree : 2950 :[Trim-branches, null, null, null, null]
Rotten Yommi tree : 2953 :[null, null, null, null, null]
Leafy Palm Tree : 2975 :[Shake, null, null, null, null]
Leafy Palm Tree : 2976 :[null, null, null, null, null]
Tree : 3033 :[Chop down, null, null, null, null]
Tree : 3034 :[Chop down, null, null, null, null]
Tree : 3036 :[Chop down, null, null, null, null]
Swamp tree : 3287 :[null, null, null, null, null]
Swamp tree : 3293 :[Chop down, null, null, null, null]
Swamp tree : 3300 :[Chop down, null, null, null, null]
Swamp tree : 3358 :[null, null, null, null, null]
Achey Tree stump : 3371 :[null, null, null, null, null]
Rotting tree : 3514 :[null, null, null, null, null]
Grotto tree : 3517 :[Search, Enter, null, null, null]
Tree : 3879 :[Chop down, null, null, null, null]
Tree stump : 3880 :[null, null, null, null, null]
Tree : 3881 :[Chop down, null, null, null, null]
Tree : 3882 :[Chop down, null, null, null, null]
Tree : 3883 :[Chop down, null, null, null, null]
Tree stump : 3884 :[null, null, null, null, null]
Tree : 3885 :[null, null, null, null, null]
Tree : 3886 :[null, null, null, null, null]
Tree : 3887 :[null, null, null, null, null]
Tree : 3888 :[null, null, null, null, null]
Tree : 3889 :[null, null, null, null, null]
Tree : 3890 :[null, null, null, null, null]
Tree : 3891 :[null, null, null, null, null]
Fallen tree : 3892 :[null, null, null, null, null]
Tree : 3893 :[null, null, null, null, null]
Tree : 3928 :[null, null, null, null, null]
Tree : 3967 :[null, null, null, null, null]
Tree : 3968 :[null, null, null, null, null]
Tree : 4048 :[null, null, null, null, null]
Tree : 4049 :[null, null, null, null, null]
Tree : 4050 :[null, null, null, null, null]
Tree : 4051 :[null, null, null, null, null]
Tree : 4052 :[null, null, null, null, null]
Tree : 4053 :[null, null, null, null, null]
Tree : 4054 :[null, null, null, null, null]
Hollow tree : 4060 :[Chop down, null, null, null, null]
Tree stump : 4061 :[null, null, null, null, null]
Bloodwood tree : 4135 :[Chop down, null, null, null, null]
Swaying tree : 4142 :[Cut-branch, null, null, null, null]
Golden tree : 4144 :[null, null, null, null, null]
Tree stump : 4328 :[null, null, null, null, null]
Tree stump : 4329 :[null, null, null, null, null]
Maple tree : 4674 :[Chop down, null, null, null, null]
Banana Tree : 4749 :[Search, null, null, null, null]
Banana Tree : 4750 :[Search, null, null, null, null]
Banana Tree : 4751 :[Search, null, null, null, null]
Banana Tree : 4752 :[Search, null, null, null, null]
Banana Tree : 4753 :[Search, null, null, null, null]
Banana Tree : 4754 :[Search, null, null, null, null]
Jungle Tree : 4816 :[null, null, null, null, null]
Jungle Tree : 4818 :[Chop-down, null, null, null, null]
Jungle Tree Stump : 4819 :[null, null, null, null, null]
Jungle Tree : 4820 :[Chop-down, null, null, null, null]
Jungle Tree Stump : 4821 :[null, null, null, null, null]
Tree stump : 4822 :[null, null, null, null, null]
Tropical tree : 4845 :[null, null, null, null, null]
Tropical tree : 4846 :[null, null, null, null, null]
Tropical tree : 4847 :[null, null, null, null, null]
Tropical tree : 4849 :[null, null, null, null, null]
Tropical tree : 4850 :[null, null, null, null, null]
Tropical tree : 4851 :[null, null, null, null, null]
Tree : 5004 :[null, null, null, null, null]
Tree : 5005 :[Climb, null, null, null, null]
Tree : 5045 :[null, null, null, null, null]
Tree Stump : 5554 :[null, null, null, null, null]
Tall tree : 5848 :[null, null, Climb, null, null]
Tree : 5904 :[Chop down, null, null, null, null]
Dark hole under tree : 5947 :[Climb-down, null, null, null, null]
Tree stump : 6212 :[null, null, null, null, null]
Dead tree : 6756 :[null, null, null, null, null]
Leafy tree : 7397 :[null, null, null, null, null]
Leafy tree : 7398 :[null, null, null, null, null]
Tree Stump : 7399 :[null, null, null, null, null]
Tree Stump : 7400 :[null, null, null, null, null]
Tree Stump : 7401 :[null, null, null, null, null]
Tree Stump : 7402 :[null, null, null, null, null]
Calquat Tree : 7776 :[null, Inspect, null, Guide, null]
Calquat Tree : 7777 :[null, Inspect, null, Guide, null]
Calquat Tree : 7778 :[null, Inspect, null, Guide, null]
Calquat Tree : 7779 :[null, Inspect, null, Guide, null]
Calquat Tree : 7780 :[null, Inspect, null, Guide, null]
Calquat Tree : 7781 :[null, Inspect, null, Guide, null]
Calquat Tree : 7782 :[null, Inspect, null, Guide, null]
Calquat Tree : 7783 :[null, Inspect, null, Guide, null]
Calquat Tree : 7784 :[Clear, Inspect, null, Guide, null]
Calquat Tree : 7785 :[Pick-fruit, Inspect, Clear, Guide, null]
Calquat Tree : 7786 :[Pick-fruit, Inspect, Clear, Guide, null]
Calquat Tree : 7787 :[Pick-fruit, Inspect, Clear, Guide, null]
Calquat Tree : 7788 :[Pick-fruit, Inspect, Clear, Guide, null]
Calquat Tree : 7789 :[Pick-fruit, Inspect, Clear, Guide, null]
Calquat Tree : 7790 :[Pick-fruit, Inspect, Clear, Guide, null]
Calquat Tree : 7791 :[Check-health, Inspect, Clear, Guide, null]
Apple tree : 7935 :[null, Inspect, Clear, Guide, null]
Apple tree : 7936 :[null, Inspect, Clear, Guide, null]
Apple tree : 7937 :[null, Inspect, Clear, Guide, null]
Apple tree : 7938 :[null, Inspect, Clear, Guide, null]
Apple tree : 7939 :[null, Inspect, Clear, Guide, null]
Apple tree : 7940 :[null, Inspect, Clear, Guide, null]
Apple tree : 7941 :[Chop-down, Inspect, null, Guide, null]
